node1	node2	sample
OP3Div4	NewZetaOtu24	S1
OP3Div4	NewZetaOtu25	S1
OP3Div4	NewZetaOtu26	S1
OP3Div4	NewZetaOtu27	S1
OP3Div4	NewZetaOtu28	S1
OP3Div4	NewZetaOtu29	S1
OP3Div4	NewZetaOtu30	S1
OP3Div4	NewZetaOtu31	S1
OP3Div4	NewZetaOtu32	S1
NewZetaOtu1	NewZetaOtu2	S1
NewZetaOtu1	NewZetaOtu3	S1
NewZetaOtu1	NewZetaOtu4	S1
NewZetaOtu1	NewZetaOtu5	S1
NewZetaOtu1	NewZetaOtu6	S1
NewZetaOtu1	NewZetaOtu7	S1
NewZetaOtu1	NewZetaOtu8	S1
NewZetaOtu1	NewZetaOtu9	S1
NewZetaOtu1	NewZetaOtu10	S1
NewZetaOtu1	NewZetaOtu11	S1
NewZetaOtu1	NewZetaOtu12	S1
NewZetaOtu1	NewZetaOtu13	S1
NewZetaOtu1	NewZetaOtu14	S1
NewZetaOtu1	NewZetaOtu15	S1
NewZetaOtu1	NewZetaOtu16	S1
NewZetaOtu1	NewZetaOtu17	S1
NewZetaOtu1	NewZetaOtu18	S1
NewZetaOtu1	NewZetaOtu19	S1
NewZetaOtu1	NewZetaOtu20	S1
NewZetaOtu1	NewZetaOtu21	S1
NewZetaOtu1	NewZetaOtu22	S1
NewZetaOtu1	NewZetaOtu23	S1
NewZetaOtu1	NewZetaOtu24	S1
NewZetaOtu1	NewZetaOtu25	S1
NewZetaOtu1	NewZetaOtu26	S1
NewZetaOtu1	NewZetaOtu27	S1
NewZetaOtu1	NewZetaOtu28	S1
NewZetaOtu1	NewZetaOtu29	S1
NewZetaOtu1	NewZetaOtu30	S1
NewZetaOtu1	NewZetaOtu31	S1
NewZetaOtu1	NewZetaOtu32	S1
NewZetaOtu2	NewZetaOtu3	S1
NewZetaOtu2	NewZetaOtu4	S1
NewZetaOtu2	NewZetaOtu5	S1
NewZetaOtu2	NewZetaOtu6	S1
NewZetaOtu2	NewZetaOtu7	S1
NewZetaOtu2	NewZetaOtu8	S1
NewZetaOtu2	NewZetaOtu9	S1
NewZetaOtu2	NewZetaOtu10	S1
NewZetaOtu2	NewZetaOtu11	S1
NewZetaOtu2	NewZetaOtu12	S1
NewZetaOtu2	NewZetaOtu13	S1
NewZetaOtu2	NewZetaOtu14	S1
NewZetaOtu2	NewZetaOtu15	S1
NewZetaOtu2	NewZetaOtu16	S1
NewZetaOtu2	NewZetaOtu17	S1
NewZetaOtu2	NewZetaOtu18	S1
NewZetaOtu2	NewZetaOtu19	S1
NewZetaOtu2	NewZetaOtu20	S1
NewZetaOtu2	NewZetaOtu21	S1
NewZetaOtu2	NewZetaOtu22	S1
NewZetaOtu2	NewZetaOtu23	S1
NewZetaOtu2	NewZetaOtu24	S1
NewZetaOtu2	NewZetaOtu25	S1
NewZetaOtu2	NewZetaOtu26	S1
NewZetaOtu2	NewZetaOtu27	S1
NewZetaOtu2	NewZetaOtu28	S1
NewZetaOtu2	NewZetaOtu29	S1
NewZetaOtu2	NewZetaOtu30	S1
NewZetaOtu2	NewZetaOtu31	S1
NewZetaOtu2	NewZetaOtu32	S1
NewZetaOtu3	NewZetaOtu4	S1
NewZetaOtu3	NewZetaOtu5	S1
NewZetaOtu3	NewZetaOtu6	S1
NewZetaOtu3	NewZetaOtu7	S1
NewZetaOtu3	NewZetaOtu8	S1
NewZetaOtu3	NewZetaOtu9	S1
NewZetaOtu3	NewZetaOtu10	S1
NewZetaOtu3	NewZetaOtu11	S1
NewZetaOtu3	NewZetaOtu12	S1
NewZetaOtu3	NewZetaOtu13	S1
NewZetaOtu3	NewZetaOtu14	S1
NewZetaOtu3	NewZetaOtu15	S1
NewZetaOtu3	NewZetaOtu16	S1
NewZetaOtu3	NewZetaOtu17	S1
NewZetaOtu3	NewZetaOtu18	S1
NewZetaOtu3	NewZetaOtu19	S1
NewZetaOtu3	NewZetaOtu20	S1
NewZetaOtu3	NewZetaOtu21	S1
NewZetaOtu3	NewZetaOtu22	S1
NewZetaOtu3	NewZetaOtu23	S1
NewZetaOtu3	NewZetaOtu24	S1
NewZetaOtu3	NewZetaOtu25	S1
NewZetaOtu3	NewZetaOtu26	S1
NewZetaOtu3	NewZetaOtu27	S1
NewZetaOtu3	NewZetaOtu28	S1
NewZetaOtu3	NewZetaOtu29	S1
NewZetaOtu3	NewZetaOtu30	S1
NewZetaOtu3	NewZetaOtu31	S1
NewZetaOtu3	NewZetaOtu32	S1
NewZetaOtu4	NewZetaOtu5	S1
NewZetaOtu4	NewZetaOtu6	S1
NewZetaOtu4	NewZetaOtu7	S1
NewZetaOtu4	NewZetaOtu8	S1
NewZetaOtu4	NewZetaOtu9	S1
NewZetaOtu4	NewZetaOtu10	S1
NewZetaOtu4	NewZetaOtu11	S1
NewZetaOtu4	NewZetaOtu12	S1
NewZetaOtu4	NewZetaOtu13	S1
NewZetaOtu4	NewZetaOtu14	S1
NewZetaOtu4	NewZetaOtu15	S1
NewZetaOtu4	NewZetaOtu16	S1
NewZetaOtu4	NewZetaOtu17	S1
NewZetaOtu4	NewZetaOtu18	S1
NewZetaOtu4	NewZetaOtu19	S1
NewZetaOtu4	NewZetaOtu20	S1
NewZetaOtu4	NewZetaOtu21	S1
NewZetaOtu4	NewZetaOtu22	S1
NewZetaOtu4	NewZetaOtu23	S1
NewZetaOtu4	NewZetaOtu24	S1
NewZetaOtu4	NewZetaOtu25	S1
NewZetaOtu4	NewZetaOtu26	S1
NewZetaOtu4	NewZetaOtu27	S1
NewZetaOtu4	NewZetaOtu28	S1
NewZetaOtu4	NewZetaOtu29	S1
NewZetaOtu4	NewZetaOtu30	S1
NewZetaOtu4	NewZetaOtu31	S1
NewZetaOtu4	NewZetaOtu32	S1
NewZetaOtu5	NewZetaOtu6	S1
NewZetaOtu5	NewZetaOtu7	S1
NewZetaOtu5	NewZetaOtu8	S1
NewZetaOtu5	NewZetaOtu9	S1
NewZetaOtu5	NewZetaOtu10	S1
NewZetaOtu5	NewZetaOtu11	S1
NewZetaOtu5	NewZetaOtu12	S1
NewZetaOtu5	NewZetaOtu13	S1
NewZetaOtu5	NewZetaOtu14	S1
NewZetaOtu5	NewZetaOtu15	S1
NewZetaOtu5	NewZetaOtu16	S1
NewZetaOtu5	NewZetaOtu17	S1
NewZetaOtu5	NewZetaOtu18	S1
NewZetaOtu5	NewZetaOtu19	S1
NewZetaOtu5	NewZetaOtu20	S1
NewZetaOtu5	NewZetaOtu21	S1
NewZetaOtu5	NewZetaOtu22	S1
NewZetaOtu5	NewZetaOtu23	S1
NewZetaOtu5	NewZetaOtu24	S1
NewZetaOtu5	NewZetaOtu25	S1
NewZetaOtu5	NewZetaOtu26	S1
NewZetaOtu5	NewZetaOtu27	S1
NewZetaOtu5	NewZetaOtu28	S1
NewZetaOtu5	NewZetaOtu29	S1
NewZetaOtu5	NewZetaOtu30	S1
NewZetaOtu5	NewZetaOtu31	S1
NewZetaOtu5	NewZetaOtu32	S1
NewZetaOtu6	NewZetaOtu7	S1
NewZetaOtu6	NewZetaOtu8	S1
NewZetaOtu6	NewZetaOtu9	S1
NewZetaOtu6	NewZetaOtu10	S1
NewZetaOtu6	NewZetaOtu11	S1
NewZetaOtu6	NewZetaOtu12	S1
NewZetaOtu6	NewZetaOtu13	S1
NewZetaOtu6	NewZetaOtu14	S1
NewZetaOtu6	NewZetaOtu15	S1
NewZetaOtu6	NewZetaOtu16	S1
NewZetaOtu6	NewZetaOtu17	S1
NewZetaOtu6	NewZetaOtu18	S1
NewZetaOtu6	NewZetaOtu19	S1
NewZetaOtu6	NewZetaOtu20	S1
NewZetaOtu6	NewZetaOtu21	S1
NewZetaOtu6	NewZetaOtu22	S1
NewZetaOtu6	NewZetaOtu23	S1
NewZetaOtu6	NewZetaOtu24	S1
NewZetaOtu6	NewZetaOtu25	S1
NewZetaOtu6	NewZetaOtu26	S1
NewZetaOtu6	NewZetaOtu27	S1
NewZetaOtu6	NewZetaOtu28	S1
NewZetaOtu6	NewZetaOtu29	S1
NewZetaOtu6	NewZetaOtu30	S1
NewZetaOtu6	NewZetaOtu31	S1
NewZetaOtu6	NewZetaOtu32	S1
NewZetaOtu7	NewZetaOtu8	S1
NewZetaOtu7	NewZetaOtu9	S1
NewZetaOtu7	NewZetaOtu10	S1
NewZetaOtu7	NewZetaOtu11	S1
NewZetaOtu7	NewZetaOtu12	S1
NewZetaOtu7	NewZetaOtu13	S1
NewZetaOtu7	NewZetaOtu14	S1
NewZetaOtu7	NewZetaOtu15	S1
NewZetaOtu7	NewZetaOtu16	S1
NewZetaOtu7	NewZetaOtu17	S1
NewZetaOtu7	NewZetaOtu18	S1
NewZetaOtu7	NewZetaOtu19	S1
NewZetaOtu7	NewZetaOtu20	S1
NewZetaOtu7	NewZetaOtu21	S1
NewZetaOtu7	NewZetaOtu22	S1
NewZetaOtu7	NewZetaOtu23	S1
NewZetaOtu7	NewZetaOtu24	S1
NewZetaOtu7	NewZetaOtu25	S1
NewZetaOtu7	NewZetaOtu26	S1
NewZetaOtu7	NewZetaOtu27	S1
NewZetaOtu7	NewZetaOtu28	S1
NewZetaOtu7	NewZetaOtu29	S1
NewZetaOtu7	NewZetaOtu30	S1
NewZetaOtu7	NewZetaOtu31	S1
NewZetaOtu7	NewZetaOtu32	S1
NewZetaOtu8	NewZetaOtu9	S1
NewZetaOtu8	NewZetaOtu10	S1
NewZetaOtu8	NewZetaOtu11	S1
NewZetaOtu8	NewZetaOtu12	S1
NewZetaOtu8	NewZetaOtu13	S1
NewZetaOtu8	NewZetaOtu14	S1
NewZetaOtu8	NewZetaOtu15	S1
NewZetaOtu8	NewZetaOtu16	S1
NewZetaOtu8	NewZetaOtu17	S1
NewZetaOtu8	NewZetaOtu18	S1
NewZetaOtu8	NewZetaOtu19	S1
NewZetaOtu8	NewZetaOtu20	S1
NewZetaOtu8	NewZetaOtu21	S1
NewZetaOtu8	NewZetaOtu22	S1
NewZetaOtu8	NewZetaOtu23	S1
NewZetaOtu8	NewZetaOtu24	S1
NewZetaOtu8	NewZetaOtu25	S1
NewZetaOtu8	NewZetaOtu26	S1
NewZetaOtu8	NewZetaOtu27	S1
NewZetaOtu8	NewZetaOtu28	S1
NewZetaOtu8	NewZetaOtu29	S1
NewZetaOtu8	NewZetaOtu30	S1
NewZetaOtu8	NewZetaOtu31	S1
NewZetaOtu8	NewZetaOtu32	S1
NewZetaOtu9	NewZetaOtu10	S1
NewZetaOtu9	NewZetaOtu11	S1
NewZetaOtu9	NewZetaOtu12	S1
NewZetaOtu9	NewZetaOtu13	S1
NewZetaOtu9	NewZetaOtu14	S1
NewZetaOtu9	NewZetaOtu15	S1
NewZetaOtu9	NewZetaOtu16	S1
NewZetaOtu9	NewZetaOtu17	S1
NewZetaOtu9	NewZetaOtu18	S1
NewZetaOtu9	NewZetaOtu19	S1
NewZetaOtu9	NewZetaOtu20	S1
NewZetaOtu9	NewZetaOtu21	S1
NewZetaOtu9	NewZetaOtu22	S1
NewZetaOtu9	NewZetaOtu23	S1
NewZetaOtu9	NewZetaOtu24	S1
NewZetaOtu9	NewZetaOtu25	S1
NewZetaOtu9	NewZetaOtu26	S1
NewZetaOtu9	NewZetaOtu27	S1
NewZetaOtu9	NewZetaOtu28	S1
NewZetaOtu9	NewZetaOtu29	S1
NewZetaOtu9	NewZetaOtu30	S1
NewZetaOtu9	NewZetaOtu31	S1
NewZetaOtu9	NewZetaOtu32	S1
NewZetaOtu10	NewZetaOtu11	S1
NewZetaOtu10	NewZetaOtu12	S1
NewZetaOtu10	NewZetaOtu13	S1
NewZetaOtu10	NewZetaOtu14	S1
NewZetaOtu10	NewZetaOtu15	S1
NewZetaOtu10	NewZetaOtu16	S1
NewZetaOtu10	NewZetaOtu17	S1
NewZetaOtu10	NewZetaOtu18	S1
NewZetaOtu10	NewZetaOtu19	S1
NewZetaOtu10	NewZetaOtu20	S1
NewZetaOtu10	NewZetaOtu21	S1
NewZetaOtu10	NewZetaOtu22	S1
NewZetaOtu10	NewZetaOtu23	S1
NewZetaOtu10	NewZetaOtu24	S1
NewZetaOtu10	NewZetaOtu25	S1
NewZetaOtu10	NewZetaOtu26	S1
NewZetaOtu10	NewZetaOtu27	S1
NewZetaOtu10	NewZetaOtu28	S1
NewZetaOtu10	NewZetaOtu29	S1
NewZetaOtu10	NewZetaOtu30	S1
NewZetaOtu10	NewZetaOtu31	S1
NewZetaOtu10	NewZetaOtu32	S1
NewZetaOtu11	NewZetaOtu12	S1
NewZetaOtu11	NewZetaOtu13	S1
NewZetaOtu11	NewZetaOtu14	S1
NewZetaOtu11	NewZetaOtu15	S1
NewZetaOtu11	NewZetaOtu16	S1
NewZetaOtu11	NewZetaOtu17	S1
NewZetaOtu11	NewZetaOtu18	S1
NewZetaOtu11	NewZetaOtu19	S1
